"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,"Link clicks",Navigation,"Profile visits",Follows,"Sticker taps"
18039014636450131,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,15,"09/11/2025 10:32",https://www.instagram.com/stories/barkerandstonehouse/3719441299708589942,"IG story",,Lifetime,1791,1612,5,0,0,,1622,12,,
18065101505203923,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"09/04/2025 09:21",https://www.instagram.com/stories/barkerandstonehouse/3714332242207363967,"IG story",,Lifetime,609,547,1,0,0,3,584,1,,
17942421257922599,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"09/04/2025 09:21",https://www.instagram.com/stories/barkerandstonehouse/3714332245529215527,"IG story",,Lifetime,623,560,2,0,1,,592,,,
18078453127978523,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"09/04/2025 09:21",https://www.instagram.com/stories/barkerandstonehouse/3714332245822810875,"IG story",,Lifetime,634,585,2,0,0,,610,,,
18078588662289656,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"09/04/2025 09:21",https://www.instagram.com/stories/barkerandstonehouse/3714332245000759126,"IG story",,Lifetime,669,610,2,1,0,,637,1,,
17980987778900381,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"09/04/2025 09:21",https://www.instagram.com/stories/barkerandstonehouse/3714332245478919874,"IG story",,Lifetime,725,657,1,0,0,,678,2,1,
18063463118341747,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,29,"09/04/2025 09:14",https://www.instagram.com/stories/barkerandstonehouse/3714328168321794031,"IG story",,Lifetime,1011,896,3,0,1,,944,7,2,
18091545052775967,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,32,"09/03/2025 05:12",https://www.instagram.com/stories/barkerandstonehouse/3713481607895349993,"IG story",,Lifetime,1237,1079,1,0,1,,1114,14,1,
17943039150045872,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"08/25/2025 01:38",https://www.instagram.com/stories/barkerandstonehouse/3706851136282080190,"IG story",,Lifetime,1698,1501,0,0,0,9,1536,10,,
18041778104355430,17841400079643420,barkerandstonehouse,"Barker and Stonehouse",,0,"08/20/2025 04:09",https://www.instagram.com/stories/barkerandstonehouse/3703303045811154230,"IG story",,Lifetime,1234,1085,2,0,0,10,1115,4,,
